Longitude,Latitude,title/0/en,notes/en,time,severity_rating,0/name
28.82463,-2.39101,The population raided police facilities at Cituzo village in Kabare territory.,The population raided police facilities at&nbsp;Cituzo&nbsp;village in Kabare territory. The population wanted to remove a gunman who had been arrested on suspicion of having killed a man and wounding others in Shanga village. Police dispersed protesters and injured a man.,3/19/2019,1,Riot
28.68118,-3.36811,The Raia Mutomboki Kokodikoko and Ndusha raided Kakuku village in Mwenga territory.,"The Raia Mutomboki Kokodikoko and Ndusha raided Kakuku village in Mwenga territory. The attackers looted money, goats, chickens, and property.",3/19/2019,1,Looting
29.46672,0.51793,Unidentified men killed a 27-year-old man in the Kalinda neighborhood of Beni town.,Unidentified men killed a 27-year-old man in the Kalinda neighborhood of Beni town. The body of the victim showing signs of strangulation was found in a football stadium.,3/19/2019,3,Killing
28.82048,-2.40916,Unidentified gunmen raided houses at Shanga village in Kabare territory.,Unidentified gunmen raided houses at Shanga village in Kabare territory. The attackers killed a 55-year-old man and injured four others. They also looted $500 and property.,3/17/2019,3,Killing
29.22251,-1.67051,Unidentified gunmen killed two guards assigned to the Goma Institute of Goma town.,Unidentified gunmen killed two guards assigned to the Goma Institute of Goma town.,3/17/2019,3,Killing
28.66006,-2.13368,"The Raia Mutomboki Shabani, who had forced six men to carry looted goods from the villages of Lungomangoma and Miruwa in Kalehe territory, released the hostages.","The Raia Mutomboki Shabani, who had forced six men to carry looted goods from the villages of Lungomangoma and Miruwa in Kalehe territory, released the hostages.",3/15/2019,1,Returnee
29.31504,0.14857,Unidentified gunmen shot and killed an FARDC soldier in the Kamesimbonzo neighborhood of Butembo town.,Unidentified gunmen shot and killed an FARDC soldier in the Kamesimbonzo neighborhood of Butembo town. The attackers stole an AK-47 rifle from the killed soldier.,3/14/2019,3,Clash
28.66006,-2.13368,The Raia Mutomboki Shabani raided the villages of Lungomangoma and Miruwa in Kalehe territory.,The Raia Mutomboki Shabani raided the villages of Lungomangoma and Miruwa in Kalehe territory. The attackers looted poultry and food. They also forced six men to carry the looted goods.,3/14/2019,2,Abduction
28.68907,0.39685,The population opposed the dignified and secure burial of a person who died of Ebola at Mambowa village in Lubero territory.,The population opposed the dignified and secure burial of a person who died of Ebola at Mambowa village in Lubero territory. The people burned the Ebola transit center and ransacked three vehicles. The police dispersed the protesters. The police also killed one man and injured another.,3/14/2019,3,Killing
28.98606,-2.16862,Unidentified gunmen looted two motorboats and 13 fishermens' nets on Lake Kivu near Nkuvu village in Idjwi territory.,Unidentified gunmen looted two motorboats and 13 fishermens' nets on Lake Kivu near Nkuvu village in Idjwi territory.,3/13/2019,1,Looting
29.17812,-0.48886,Unidentified gunmen robbed a mini-bus near Kaseghe locality in Lubero territory.,Unidentified gunmen robbed a mini-bus near Kaseghe locality in Lubero territory. The robbers looted money and property. They also kidnapped five men and demanded ransom for the release of the hostages.,3/13/2019,2,Kidnap for Ransom
29.10861,-3.02352,Unidentified gunmen raided a house at Mutarule I village in Uvira territory.,Unidentified gunmen raided a house at Mutarule I village in Uvira territory. The attackers shot at the occupants of the house. This incident resulted in the death of a 35-year-old man and the injury of a woman and a baby.,3/12/2019,3,Killing
28.7519,-1.2314,The Nyatura Kavumbi attacked an FARDC position at Kahira village in Masisi territory.,The Nyatura Kavumbi attacked an FARDC position at Kahira village in Masisi territory. The FARDC fought back and chased the attackers.,3/12/2019,1,Clash
28.92349,-3.00891,"The Raia Mutomboki Butachibera, who had kidnapped and raped a 14-year-old girl at Miyenge village in Kalehe territory on 10 March 2019, released the hostage after receiving payment of the $60 ransom.","The Raia Mutomboki Butachibera, who had kidnapped and raped a 14-year-old girl at&nbsp;Miyenge village in Kalehe territory on 10 March 2019, released the hostage after receiving payment of the $60 ransom.",3/12/2019,1,Returnee
28.96178,-2.9519,"The Mai-Mai Buhirwha, who had kidnapped a 45-year-old man from Kigwena village in Uvira territory on 11 March 2019, released the hostage after receiving payment of the $1500 ransom.","The Mai-Mai Buhirwha, who had kidnapped a 45-year-old man from Kigwena village in Uvira territory on 11 March 2019, released the hostage after receiving payment of the $1500 ransom.",3/12/2019,1,Returnee
28.98812,-1.73902,"Two men, who had been kidnapped by three unidentified gunmen from Mutuza village in Kalehe territory on 10 March 2019, escaped from their captors.","Two men, who had been kidnapped by three unidentified gunmen from Mutuza village in Kalehe territory on 10 March 2019, escaped from their captors.",3/12/2019,1,Returnee
28.82709,-1.2441,The APCLS kidnapped three men from Lwibo village in Masisi territory.,The APCLS kidnapped three men from Lwibo village in Masisi territory. The kidnappers demanded a ransom of $1800 for the release of the hostages.,3/11/2019,1,Kidnap for Ransom
29.55316,0.72974,"The ADF, who had kidnapped women and men in Beni territory, have released twenty-three hostages at Masesele village in Beni territory.","The ADF, who had kidnapped women and men from Beni territory, have released twenty-three hostages at Masesele village in Beni territory.",3/11/2019,1,Returnee
28.99918,-2.78993,Unidentified gunmen raided a house in the Kasenga neighborhood of the Uvira rural commune.,Unidentified gunmen raided a house in the Kasenga neighborhood of the Uvira rural commune. The attackers shot and killed a 71-year-old man.,3/11/2019,3,Killing
29.30588,0.14513,The population ransacked the Mathe health center in the Mutsanga neighborhood of Butembo town.,The population ransacked the Mathe health center in the&nbsp;Mutsanga neighborhood of Butembo town. The population tortured a nurse suspected of being an Ebola response officer. The police dispersed protesters.,3/11/2019,1,Riot
28.98812,-1.73902,"Three unidentified gunmen kidnapped two men aged 40 and 54, respectively, from a farm in Mutuza village in Kalehe territory.","Three unidentified gunmen kidnapped two men aged 40 and 54, respectively, from a farm in Mutuza village in Kalehe territory. The kidnappers demanded a ransom of $20000 for the release of the hostages.",3/10/2019,1,Kidnap for Ransom
29.28274,0.13035,Unidentified men attacked at an Ebola treatment center in the Lumumba neighborhood of Butembo town.,"Unidentified men attacked at an Ebola treatment center in the Lumumba neighborhood of Butembo town. The FARDC and the police guarding it retaliated. The attack resulted in the death of one policeman, one injured and one captured assailant, and four injured civilians.",3/9/2019,3,Clash
29.0329,-1.11558,The Nyatura Domi raided Mweso town in Masisi territory.,The Nyatura Domi raided Mweso town in Masisi territory. The police retaliated. This confrontation resulted in one injured policeman and another captured.,3/9/2019,1,Clash
28.58814,-2.31954,The police tortured and injured three men during an arrest at Butwasenge village in Kalehe territory.,The police tortured and injured three men during an arrest at Butwasenge village in Kalehe territory. The victims were admitted to Kalonge General Hospital for treatment.,3/8/2019,1,Serious Injury
28.89899,-1.44937,Unidentified gunmen raided Katale village in Masisi territory.,Unidentified gunmen raided Katale village in Masisi territory. The attackers killed two men and injured another. The injured victim was sent to Masisi hospital.,3/8/2019,3,Killing
29.47022,0.42155,Unidentified gunmen raided Manzanza village in Beni territory.,"Unidentified gunmen raided Manzanza village in Beni territory. The attackers killed four men, a woman, and a boy.",3/8/2019,5,Killing
29.10861,-3.02352,The FARDC attacked unidentified gunmen during an attempt to loot cows at Mutarule village in Uvira territory.,The FARDC attacked unidentified gunmen during an attempt to loot cows at Mutarule village in Uvira territory. The FARDC chased the attackers. This incident resulted in the shooting and injury of a&nbsp;16-year-old girl.,3/7/2019,1,Clash
29.06635,-2.94781,The FARDC attacked the Mai-Mai Mwenyemali near Kahanda village in Uvira territory during an attempt to plunder cows.,The FARDC attacked the Mai-Mai Mwenyemali near Kahanda village in Uvira territory during an attempt to plunder cows. The Mai-Mai Mwenyemali did not manage to take the cows away.,3/7/2019,1,Clash
27.85391,-3.52539,The Raia Mutomboki Jean Musumbu and Makindu raided Itula-Katembele village in Shabunda territory.,"The Raia Mutomboki Jean Musumbu and Makindu raided Itula-Katembele village in Shabunda territory. The attackers captured four police officers, abducted eight men and three girls. They raped the three abducted girls. The Raia Mutomboki also took away four weapons.",3/7/2019,3,Rape
28.98561,-1.8803,Unidentified gunmen stabbed a woman near Mukwidja village in Kalehe territory.,Unidentified gunmen stabbed a woman near Mukwidja village in Kalehe territory. The attackers stole a part of the corpse. The body of the victim was found near Lake Kivu.,3/7/2019,3,Killing
29.31439,-0.67633,The Mai-Mai Charles attacked a park ranger station at Kyanika village in Lubero territory.,The Mai-Mai Charles attacked a park ranger station at Kyanika village in Lubero territory. This attack resulted in one death and several wounded park rangers.,3/7/2019,3,Clash
27.81641,-2.62446,"The Raia Mutomboki Ngandu stole five goats, ten ducks and six chickens from Bwise village in Shabunda territory.","The Raia Mutomboki Ngandu stole five goats, ten ducks and six chickens from Bwise village in Shabunda territory.",3/7/2019,1,Looting
29.14487,-3.37288,Unidentified gunmen raided a house in the Kasenga neighborhood of rural Uvira.,Unidentified gunmen raided a house in the Kasenga neighborhood of rural Uvira. The attackers wounded a 51-year-old man and his wife. They also stole money and two televisions.,3/6/2019,1,Looting
29.0396,-4.20193,Unidentified gunmen robbed seven motorbikes near Malinde village in Fizi territory.,Unidentified gunmen robbed seven motorbikes near Malinde&nbsp;village in Fizi territory. The robbers looted money and property. The attackers also raped a woman.,3/5/2019,1,Rape
28.75804,-2.88366,"Police officers, supported by the FARDC, shot and killed a 25-year-old man and wounded five other youths at Cibanda village in Mwenga territory.","Police officers, supported by the FARDC, shot and killed a 25-year-old man and wounded five other youths at Cibanda village in Mwenga territory. This occurred due to the youths' resistance to arrest.",3/5/2019,3,Killing
29.31907,0.13586,Unidentified gunmen attacked an FARDC position in the Kyaghala neighborhood of Butembo town.,"Unidentified gunmen attacked an FARDC position in the Kyaghala neighborhood of Butembo town. The attack resulted in one dead and one wounded in the ranks of the attackers, two dead and three wounded for the FARDC. The FARDC chased the attackers. The FARDC also looted property from the population.",3/5/2019,3,Clash
29.0329,-1.11558,Unidentified gunmen captured an ANR agent from the Mweso locality of Masisi territory.,Unidentified gunmen captured an ANR agent from the Mweso locality of Masisi territory. The attackers shot several times into the air before leaving.,3/5/2019,1,Clash
29.02066,-1.70526,Two FARDC soldiers raided a telephone network antenna station at Minova village in Kalehe territory.,"Two FARDC soldiers raided a telephone network antenna station at Minova village in Kalehe territory. The attackers looted $121, a computer, twenty phones, and two power banks.",3/5/2019,1,Looting
29.6131,0.87626,"The ADF, who had abducted men and women from several settlements in Beni territory, released fourteen men, seven women and a girl at Mayi-Safi village in Beni territory.","The ADF, who had abducted men and women from several settlements in Beni territory, released fourteen men, seven women and a girl at Mayi-Safi village in Beni territory.",3/5/2019,1,Returnee
29.17436,-3.04863,"The Mai-Mai Mbulu, who had kidnapped a man from Kihurwe village in Uvira territory on February 25, 2019, released the hostage after the Burundian armed forces arrested the supposed receiver of the ransom.","The Mai-Mai Mbulu, who had kidnapped a man from Kihurwe village in Uvira territory on February 25, 2019, released the hostage after the Burundian armed forces arrested the supposed receiver of the ransom.",3/5/2019,1,Returnee
28.92349,-3.00891,The Raia Mutomboki Butachibera raided Bubamba village in Kalehe territory.,"The Raia Mutomboki Butachibera raided Bubamba village in Kalehe territory. The attackers stabbed three men aged 26, 36 and 50, respectively. They also looted eight goats, sixteen hens, a mattress, and a bag of peanuts.",3/4/2019,1,Looting
29.0396,-4.20193,A policeman shot his wife in the Kyondo rural commune.,A policeman shot his wife in the Kyondo rural commune. The victim was rushed to the Kyondo General Hospital.,3/4/2019,1,Serious Injury
29.24729,-1.60463,Unidentified gunmen stabbed and killed a man at Bugarura village in Nyiragongo territory.,Unidentified gunmen stabbed and killed a man at Bugarura village in Nyiragongo territory. The corpse of the victim was found by a passerby.,3/4/2019,3,Killing
28.98519,-1.75625,The NDC Guidon attacked the Nyatura Kavumbi's position at Bugori village in Masisi territory.,"The NDC Guidon attacked the Nyatura Kavumbi's position at Bugori village in Masisi territory. The attack resulted in the death of one NDC Guidon fighter, five dead on the Nyatura Kavumbi's side, and four dead and four wounded among civilians.",3/4/2019,4,Killing
29.06228,-1.70433,Unidentified gunmen raided a house at Luti village in Kalehe territory.,Unidentified gunmen raided a house at Luti village in Kalehe territory. The attackers stole two phones and a suitcase of clothes.,3/4/2019,1,Looting
29.23487,-1.66579,Unidentified gunmen shot and killed two men in the Majengo neighborhood of Goma town.,Unidentified gunmen shot and killed two men in the Majengo neighborhood of Goma town.,3/4/2019,3,Killing
28.7716,-3.86414,The Biloze Bshambuke and CNPSC attacked the Ngumino fighters allied with Twiganeho fighters in the villages of Biziba and Matanganyika in Fizi territory.,The&nbsp;Biloze Bshambuke and CNPSC attacked the Ngumino fighters allied with Twiganeho fighters in the villages of Biziba and Matanganyika in Fizi territory. The attack resulted in the burning of thirty-two houses and the looting of cows.,3/3/2019,5,Clash
29.20826,-1.66527,"The FARDC dispersed protesters who wanted to file a memorandum to the governor, denouncing growing insecurity in Goma town.","The FARDC dispersed protesters who wanted to file a memorandum to the governor, denouncing growing insecurity in Goma town.",3/3/2019,1,Political Repression
29.0329,-1.11558,The NDC Guidon attacked the Nyatura Domi in the Mweso locality of Masisi territory.,The NDC Guidon attacked the Nyatura Domi in the Mweso locality of Masisi territory. The FARDC intervened to put an end to this clash.,3/3/2019,1,Clash
29.18298,-1.64189,"Unidentified gunmen who had kidnapped thirteen people from the Ndosho neighborhood of Goma town on March 2, 2019, released the hostages after receiving payment of the ransom.","Unidentified gunmen who had kidnapped thirteen people from the Ndosho neighborhood of Goma town on March 2, 2019, released the hostages after receiving payment of the ransom.",3/3/2019,1,Returnee
28.82476,-1.79706,Unidentified gunmen amputated three cows' hooves at Chambombo village in Kalehe territory.,Unidentified gunmen amputated three cows' hooves at Chambombo village in Kalehe territory. The attackers abandoned them in their pasture.,3/3/2019,1,Destruction of Property
28.49767,-2.36705,The Raia Mutomboki Hamakombo and Lance Muteya raided Nyalukulu village in Kalehe territory.,The Raia Mutomboki Hamakombo and Lance Muteya raided Nyalukulu village in Kalehe territory. The attackers stole a cow and eight goats.,3/2/2019,1,Looting
29.19848,-1.65793,Unidentified gunmen raided the Ndosho neighborhood of Goma town.,"Unidentified gunmen raided the Ndosho neighborhood of Goma town. The attackers killed one woman, six men, and wounded three men. They also kidnapped thirteen people and demanded a ransom of $10000 for the release of the hostages. The attackers looted money and property from some homes.",3/2/2019,7,Killing
28.95961,-4.13618,The FARDC attacked a Mai-Mai Ebu Ela position who were in the process of surrendering at Kafulo village in Fizi territory.,The FARDC attacked a Mai-Mai Ebu Ela position who were in the process of surrendering at Kafulo village in Fizi territory.,3/2/2019,2,Killing
29.64203,-0.15824,The Mai-Mai Nguru attempted to raid the Kyavinyonge locality of Beni territory.,The Mai-Mai Nguru attempted to raid the Kyavinyonge locality of Beni territory. The FARDC responded by capturing four Mai-Mai Nguru fighters and their weapons.,3/2/2019,1,Clash
28.89181,-1.7897,An FARDC soldier raped a 12-year-old girl at Numbi village in Kalehe territory.,An FARDC soldier raped a 12-year-old girl at Numbi village in Kalehe territory.,3/2/2019,1,Rape
29.06005,-1.25025,The population wanted to lynch a policeman who was trying to steal a sheep the Kitchanga locality of Masisi territory.,The population wanted to lynch a policeman who was trying to steal a sheep the Kitchanga locality of Masisi territory. Other officers intervened by firing bullets into the air and released their colleague.,3/2/2019,1,Riot
29.62147,0.86499,"The ADF, which had kidnapped men and women from several settlements in the Beni territory, released seven men and seven women at Makembi village in Beni territory.","The ADF, which had kidnapped men and women from several settlements in the Beni territory, released seven men and seven women at Makembi village in Beni territory.",3/2/2019,1,Returnee
29.14882,-3.36277,Three unidentified gunmen raided a house in the Mulongwe neighborhood of rural Uvira.,"Three unidentified gunmen raided a house in the Mulongwe neighborhood of rural Uvira. The attackers looted $2000, a TV, and seven phones.",3/1/2019,1,Looting
28.92661,-2.06399,Unidentified gunmen raided Munanira village in Kalehe territory.,Unidentified gunmen raided Munanira village in Kalehe territory. The attackers looted property.,3/1/2019,1,Looting
28.58333,-2.79999,The population protested against the FARDC's presence at Tubimbi village in Walungu territory after the killing of a teacher by a soldier.,"The population protested against the FARDC's presence at Tubimbi village in Walungu territory after the killing of a teacher by a soldier. Following pressure from the population, the FARDC left the village.",3/1/2019,1,Riot
29.36714,0.14389,Unidentified gunmen attacked an FARDC soldier at Bunyuka village in Beni territory.,Unidentified gunmen attacked an FARDC soldier at Bunyuka village in Beni territory. The attackers killed the FARDC soldier and stole his weapon.,2/28/2019,3,Clash
29.30588,0.14513,A policeman injured six people in the Mutsanga neighborhood of Butembo town with a grenade.,"A policeman injured six people in the Mutsanga neighborhood of Butembo town with a&nbsp;grenade. The incident occurred when the population attempted to apprehend a driver, who had just crashed into three people&nbsp;and was attempting to flee from the police.",2/28/2019,1,Serious Injury
27.15408,-3.59634,The Raia Mutomboki Musumbu set fire to the Museme Primary School office at Lusenge village in Shabunda territory.,The Raia Mutomboki Musumbu set fire to the&nbsp;Museme Primary School office at Lusenge village in Shabunda territory.,2/28/2019,1,Destruction of Property
28.58333,-2.79999,An FARDC soldier shot and killed a 25-year-old man at Tubimbi village in Walungu territory.,An FARDC soldier shot and killed a 25-year-old man at Tubimbi village in Walungu territory.&nbsp;,2/28/2019,3,Killing
29.14882,-3.36277,Three unidentified gunmen raided a house in the Mulongwe neighborhood of the Uvira rural commune.,Three unidentified gunmen raided a house in the Mulongwe neighborhood of the Uvira rural commune. The attackers shot and killed a 49-year-old man. They also stole some money.,2/28/2019,3,Killing
29.37066,0.2713,"Unidentified gunmen, who had kidnapped a man from Kasitu village in Beni territory on February 26, 2019, released the hostage after receiving payment of the ransom.","Unidentified gunmen, who had kidnapped a man from Kasitu village in Beni territory on February 26, 2019, released the hostage after receiving payment of the ransom.",2/28/2019,1,Returnee
29.09145,-2.98727,"The FARDC attacked the kidnappers, who still held a hostage among those kidnapped near Kitemesho village in Uvira territory on February 26, 2019.","The FARDC attacked the kidnappers, who still held a hostage among those kidnapped near Kitemesho village in Uvira territory on February 26, 2019. The FARDC killed a kidnapper and released the hostage.",2/28/2019,3,Clash
28.7781,-3.87872,"The Ngumino and Twiganeho attacked CNPSC positions in the villages of Robondo, Monda, Matanganyika and Bengwa in Fizi territory.","The&nbsp;Ngumino and Twiganeho attacked CNPSC positions in the villages of Robondo, Monda, Matanganyika and Bengwa in Fizi territory. These clashes resulted in three dead and six wounded in the ranks of Ngumino, three dead on the side of Mai-Mai, five dead and fourteen wounded civilians. The&nbsp;CNPSC chased the Ngumino and Twiganeho.",2/28/2019,7,Killing
28.87314,-1.54656,Unidentified gunmen tried to loot the Bisunzu Mining Company's ore deposit at Rubaya village.,Unidentified gunmen tried to loot the Bisunzu Mining Company's ore deposit at Rubaya village. The police officers guarding the depot responded and chased the attackers.,2/28/2019,1,Clash
28.82476,-1.79706,A Raia Mutomboki Kabishula fighter flogged an 88-year-old woman at Chambombo village in Kalehe territory.,A Raia Mutomboki Kabishula fighter flogged an 88-year-old woman at Chambombo village in Kalehe territory. The victim succumbed to his injuries.,2/28/2019,3,Killing
28.81387,-1.80635,An unidentified gunman shot and wounded a 28-year-old man near Kitaho village in Kalehe territory.,An unidentified gunman shot and wounded a 28-year-old man near Kitaho village in Kalehe territory.,2/27/2019,1,Serious Injury
29.28274,0.13035,Unidentified gunmen attacked an Ebola treatment center in the Lumumba neighborhood of Butembo town.,"Unidentified gunmen attacked an Ebola treatment center in the Lumumba neighborhood of Butembo town. This attack resulted in the death of a policeman, a part of the center, a jeep, and ten motorcycles burned.",2/27/2019,3,Clash
29.18955,-1.64935,Police dispersed a demonstration of LUCHA activists from the Ndosho neighborhood of Goma town.,Police dispersed a demonstration of LUCHA activists from the Ndosho neighborhood of Goma town. Police arrested twenty-two activists. The LUCHA activists wanted to file a memorandum to the governor demanding security in the town of Goma.,2/27/2019,5,Political Repression
29.09145,-2.98727,"Two unidentified gunmen, who had kidnapped two men near Kitemesho village in Uvira territory on February 26, 2019, released one of the hostages to facilitate a ransom negotiation.","Two unidentified gunmen, who had kidnapped two men near Kitemesho village in Uvira territory on February 26, 2019, released one of the hostages to facilitate a ransom negotiation.",2/27/2019,1,Returnee
28.7716,-3.86414,The Mai-Mai CNPSC killed a fighter who had raped a woman at Robondo village in Fizi territory.,The Mai-Mai CNPSC killed a Ngumino fighter who had raped a woman at Robondo village in Fizi territory.,2/27/2019,3,Clash
28.77501,-3.86502,"The Ngumino, supported by the Twiganeho, raided Monda village in Fizi territory.","The Ngumino, supported by the Twiganeho, raided Monda village in Fizi territory. The attackers razed houses. They killed a man, a woman and a child in a burned house.",2/27/2019,4,Killing
29.48176,0.58547,The ADF attacked an FARDC position at Mavivi village in Beni territory.,The ADF attacked an FARDC position at Mavivi village in Beni territory. The FARDC killed an attacker and recovered three AK-47 rifles and missiles.,2/26/2019,3,Clash
29.48983,0.60917,The ADF abducted two men from a field near Kungubamba village in Beni territory.,The ADF abducted two men from a field near Kungubamba village in Beni territory. The kidnappers demanded that the hostages serve as guides to attack an FARDC position in Mavivi.,2/26/2019,1,Abduction
29.09145,-2.98727,Two unidentified gunmen robbed a vehicle near Kitemesho village in Uvira territory.,"Two unidentified gunmen robbed a vehicle near Kitemesho village in Uvira territory. The robbers looted property. They also kidnapped two men aged 34 and 59, respectively. The kidnappers demanded a ransom of $3000 for the release of the hostages.",2/26/2019,1,Kidnap for Ransom
29.22929,-1.6639,Unidentified gunmen raided four houses in the Mabanga North neighborhood of Goma town.,Unidentified gunmen raided four houses in the Mabanga North neighborhood of Goma town. The attackers looted money and property. They also hurt two men.,2/26/2019,1,Looting
28.82785,-2.47097,Six unidentified gunmen raided a house in the Cikonyi neighborhood of Bukavu town.,Six unidentified gunmen raided a house in the Cikonyi neighborhood of Bukavu town. The attackers injured a 42-year-old man and his wife. They also looted some goods.,2/26/2019,1,Looting
29.38329,0.72366,"The ADF, who had abducted men during their attack of an FARDC position at Mamove village in Beni territory on 24 February 2019, released one of the hostages.","The ADF, who had abducted men during their attack of an FARDC position at&nbsp;Mamove&nbsp;village in Beni territory on 24 February 2019, released one of the hostages.",2/26/2019,1,Returnee
28.7716,-3.86414,A Ngumino fighter raped a woman at Robondo village in Fizi territory.,A Ngumino fighter raped a woman at Robondo village in Fizi territory.,2/26/2019,1,Rape
28.35711,-2.515,Unidentified gunmen raided a house at Kabikere village in Kalehe territory.,Unidentified gunmen raided a house at Kabikere village in Kalehe territory. The attackers also looted money and property.,2/26/2019,1,Looting
29.06412,0.07534,Unidentified gunmen shot and killed a 25-year-old woman and a man at Sana village in Lubero territory.,Unidentified gunmen shot and killed a 25-year-old woman and a man at Sana village in Lubero territory. The attackers escaped into the forest after the crime.,2/25/2019,3,Killing
29.22831,-1.09773,The FARDC tortured and injured a man at Mburamazi village in Rutshuru territory.,The FARDC tortured and injured a man at Mburamazi village in Rutshuru territory. The attackers also robbed the victim.,2/25/2019,1,Looting
27.70446,-2.75502,"The Raia Mutomboki Mabala Wemba looted money, fifteen kilograms of cassiterite and eight telephones, from eight traders near Kabilu village in Shabunda territory.","The Raia Mutomboki Mabala Wemba looted money, fifteen kilograms of cassiterite and eight telephones, from eight traders near Kabilu village in Shabunda territory.",2/25/2019,1,Looting
29.4643,0.75683,The ADF attacked an FARDC position at Kitevya village in Beni territory.,The ADF attacked an FARDC position at Kitevya village in Beni territory. The FARDC chased the attackers.,2/25/2019,1,Clash
29.49631,0.63968,Two FARDC soldiers shot and killed a man near Mangboko village in Beni territory.,Two FARDC soldiers shot and killed a man near Mangboko village in Beni territory. The victim had been transporting both soldiers on his motorbike to bring them to Mbau.,2/25/2019,3,Killing
28.40022,-1.78688,Two Mai-Mai Kifuafua Delphin Mbaenda killed a 40-year-old woman near Vikilambo village in Walikale territory.,Two Mai-Mai Kifuafua Delphin Mbaenda killed a 40-year-old woman near Vikilambo village in Walikale territory. The killers threw the body of the victim into a river.,2/25/2019,3,Killing
29.17436,-3.04863,The Mai-Mai Mbulu kidnapped a 55-year-old man from Kihurwe village in Uvira territory.,The Mai-Mai Mbulu kidnapped a 55-year-old man from Kihurwe village in Uvira territory. The kidnappers demanded a ransom of $2000 for the release of the hostage. The ransom was to be sent to a Burundian number.,2/25/2019,1,Kidnap for Ransom
27.45311,-2.31508,The police stole six goats and ten chickens from Mapimo village in Shabunda territory.,The police stole six goats and ten chickens from&nbsp;Mapimo village in Shabunda territory.,2/24/2019,1,Looting
29.00184,-3.02275,Four unidentified gunmen kidnapped a man from Kibanga village in Uvira territory.,Four unidentified gunmen kidnapped a man from Kibanga village in Uvira territory. The kidnappers demanded a ransom of $2000 for the release of the hostage.,2/24/2019,1,Kidnap for Ransom
28.86459,-2.5105,Unidentified gunmen raided a hospital center in the Ndendere neighborhood in Bukavu town.,Unidentified gunmen raided a hospital center in the Ndendere neighborhood in Bukavu town. The attackers looted $950 and a computer.,2/24/2019,1,Looting
29.18955,-1.64935,Unidentified gunmen attempted to raid a house in the Kyeshero neighborhood of Goma town at night.,"Unidentified gunmen attempted to raid a house in the Kyeshero neighborhood of Goma town at night. The attackers faced resistance from a police officer in charge of guarding the plot. During the exchange of fire, the attackers fled having wounded the policeman.",2/24/2019,1,Clash
29.38329,0.72366,The ADF raided Mamove village in Beni territory.,"The ADF raided Mamove village in Beni territory. The raid resulted in deaths of two men and one woman, sixteen people kidnapped, and six houses including a pavilion of the Mamove health center burned.",2/24/2019,9,Killing
29.38329,0.72366,Unidentified gunmen kidnapped a first-aid worker from the Red Cross from Mamove village in Beni territory.,Unidentified gunmen kidnapped a first-aid worker from the Red Cross from&nbsp;Mamove village in Beni territory. The kidnappers demanded that the victim wear his outfit with the red cross logo.,2/24/2019,1,Abduction
