publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,total_cases,confirmed_deaths,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
2019-03-31,2019-03-30,COD,North Kivu,Mabalako,90,16,106,54,70,2,,,,,,0,0,0,0,0,-11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Mangurujipa,5,0,5,4,4,4,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Masereka,28,1,29,9,10,1,,,,,,1,0,1,1,1,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Musienene,7,1,8,2,3,31,,,,,,1,0,1,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Mutwanga,4,0,4,3,3,41,,,,,,0,0,0,0,0,10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Oicha,38,0,38,20,20,20,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,North Kivu,Vuhovi,45,1,46,19,20,4,,,,,,3,0,3,2,2,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Bunia,1,0,1,1,1,13,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Komanda,27,9,36,9,18,8,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Mandima,47,3,50,28,31,4,,,,,,3,0,3,1,1,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-31,2019-03-30,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_31mar19
2019-03-30,2019-03-29,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Beni,237,9,246,122,131,70,,,,,,1,0,1,1,1,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Biena,6,0,6,6,6,9,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Butembo,98,0,98,84,84,33,,,,,,0,0,0,2,2,15,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Goma,0,0,0,0,0,10,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Kalunguta,48,13,61,22,35,5,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Katwa,297,11,308,200,211,16,,,,,,2,0,2,1,1,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Kayina,8,0,8,3,3,4,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Kyondo,16,2,18,12,14,9,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Lubero,4,0,4,1,1,2,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Mabalako,90,16,106,54,70,13,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Mangurujipa,5,0,5,4,4,7,,,,,,0,0,0,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Masereka,27,1,28,8,9,2,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Musienene,6,1,7,2,3,24,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Mutwanga,4,0,4,3,3,31,,,,,,0,0,0,0,0,25,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Oicha,38,0,38,20,20,18,,,,,,1,0,1,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Vuhovi,42,1,43,17,18,6,,,,,,3,0,3,1,1,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Bunia,1,0,1,1,1,15,,,,,,0,0,0,0,0,8,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Komanda,27,9,36,9,18,12,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,North Kivu,Mambasa,1,0,1,0,0,0,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Mandima,44,3,47,27,30,7,,,,,,2,0,2,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,-7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-30,2019-03-29,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_30mar19
2019-03-29,2019-03-28,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Beni,236,9,245,121,130,64,,,,,,2,0,2,2,2,10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Biena,6,0,6,6,6,5,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Butembo,98,0,98,82,82,18,,,,,,0,0,0,2,2,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Goma,0,0,0,0,0,9,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Kalunguta,48,13,61,22,35,7,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Katwa,295,11,306,199,210,18,,,,,,4,0,4,3,3,-11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Kayina,8,0,8,3,3,1,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Kyondo,16,2,18,12,14,6,,,,,,0,0,0,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Lubero,4,0,4,1,1,3,,,,,,0,0,0,0,0,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Mabalako,90,16,106,54,70,7,,,,,,0,0,0,-1,-1,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Mangurujipa,5,0,5,4,4,2,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Masereka,27,1,28,8,9,1,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Musienene,6,1,7,2,3,24,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Mutwanga,4,0,4,3,3,6,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Oicha,37,0,37,20,20,13,,,,,,2,0,2,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,North Kivu,Vuhovi,39,1,40,16,17,4,,,,,,5,0,5,1,1,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Bunia,1,0,1,1,1,7,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Komanda,27,9,36,9,18,14,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Mandima,42,3,45,27,30,9,,,,,,2,0,2,1,1,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Nyankunde,1,0,1,1,1,7,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-29,2019-03-28,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_29mar19
2019-03-28,2019-03-27,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Beni,234,9,243,119,128,54,,,,,,1,0,1,0,0,-23,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Biena,6,0,6,6,6,4,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Butembo,98,0,98,80,80,27,,,,,,0,0,0,4,4,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Goma,0,0,0,0,0,10,,,,,,0,0,0,0,0,-13,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Kalunguta,48,13,61,22,35,6,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Katwa,291,11,302,196,207,29,,,,,,6,0,6,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Kayina,8,0,8,3,3,2,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Kyondo,16,2,18,12,14,1,,,,,,0,0,0,0,0,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Lubero,4,0,4,1,1,9,,,,,,1,0,1,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Mabalako,90,16,106,55,71,3,,,,,,0,0,0,1,1,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Mangurujipa,5,0,5,4,4,4,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Masereka,27,1,28,8,9,2,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Musienene,6,1,7,2,3,18,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Mutwanga,4,0,4,3,3,4,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Oicha,35,0,35,20,20,11,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,North Kivu,Vuhovi,34,1,35,15,16,10,,,,,,4,1,5,3,4,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Bunia,1,0,1,1,1,9,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Komanda,27,9,36,9,18,11,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Mandima,40,3,43,26,29,4,,,,,,1,0,1,1,1,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-28,2019-03-27,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_28mar19
2019-03-27,2019-03-26,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Beni,233,9,242,119,128,77,,,,,,2,0,2,0,0,-13,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Biena,6,0,6,6,6,7,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Butembo,98,0,98,76,76,20,,,,,,0,0,0,1,1,20,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Goma,0,0,0,0,0,23,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Kalunguta,48,13,61,22,35,6,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Katwa,285,11,296,196,207,30,,,,,,4,0,4,2,2,30,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Kayina,8,0,8,3,3,3,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Kyondo,16,2,18,12,14,7,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Lubero,3,0,3,1,1,6,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Mabalako,90,16,106,54,70,5,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Mangurujipa,5,0,5,4,4,6,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Masereka,27,1,28,8,9,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Musienene,6,1,7,2,3,18,,,,,,0,0,0,0,0,18,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Mutwanga,4,0,4,3,3,2,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Oicha,34,0,34,20,20,11,,,,,,1,0,1,0,0,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,North Kivu,Vuhovi,30,0,30,12,12,3,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Bunia,1,0,1,1,1,7,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Komanda,27,9,36,9,18,4,,,,,,0,0,0,0,0,-7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Mandima,39,3,42,25,28,4,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Rwampara,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-27,2019-03-26,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_27mar19
2019-03-26,2019-03-25,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Beni,231,9,240,119,128,90,,,,,,1,0,1,0,0,24,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Biena,6,0,6,6,6,0,,,,,,0,0,0,0,0,-10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Butembo,98,0,98,75,75,0,,,,,,1,0,1,1,1,-21,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Goma,0,0,0,0,0,20,,,,,,0,0,0,0,0,12,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Kalunguta,48,13,61,22,35,0,,,,,,0,0,0,0,0,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Katwa,281,11,292,194,205,0,,,,,,0,0,0,2,2,-25,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Kayina,8,0,8,3,3,0,,,,,,0,0,0,0,0,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
2019-03-26,2019-03-25,COD,North Kivu,Kyondo,16,2,18,12,14,0,,,,,,1,0,1,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_26mar19
